"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"184",10,"Daniel Jones",NYG,"QB22","126","365","198.2","39.2","+22"
"185",10,"Mac Jones",NE,"QB23","126","320","198.4","32.4","-5"
"186",10,"New England Patriots",NE,"DST8","156","314","185.1","23.8","-25"
"187",10,"Christian Watson",GB,"WR75","63","311","201.3","41.1","+26"
"188",10,"Tyler Bass",BUF,"K2","175","224","188.0","12.7","-61"
"189",10,"Isiah Pacheco",KC,"RB56","106","351","177.4","54.5","+3"
"190",10,"Brian Robinson Jr.",WAS,"RB57","91","368","195.0","60.7","-42"
"191",10,"D'Onta Foreman",CAR,"RB58","120","321","200.5","41.2","+35"
"192",10,"KJ Hamler",DEN,"WR76","130","343","208.0","39.5","+66"
"193",10,"Parris Campbell",IND,"WR77","130","290","208.7","32.5","+55"
"194",10,"Matt Gay",LAR,"K3","175","288","194.5","18.2","-61"
"195",10,"Dallas Cowboys",DAL,"DST9","156","278","198.6","21.7","-59"
"196",10,"Alec Pierce",IND,"WR78","112","370","208.0","43.1","+26"
"197",10,"Samaje Perine",CIN,"RB59","138","361","202.9","39.2","+65"
"198",10,"Evan McPherson",CIN,"K4","175","302","201.5","25.2","-77"
"199",10,"Jerick McKinnon",KC,"RB60","115","349","209.2","48.3","+22"
"200",10,"Gus Edwards",BAL,"RB61","120","358","210.8","56.2","+47"
"201",10,"Romeo Doubs",GB,"WR79","77","377","187.6","51.7","-24"
"202",10,"Los Angeles Chargers",LAC,"DST10","156","307","201.4","22.6","-52"
"203",10,"Daniel Carlson",LV,"K5","175","287","203.0","18.9","-75"
"204",10,"Brevin Jordan",HOU,"TE26","135","318","211.6","38.4","+65"
"205",10,"Sterling Shepard",NYG,"WR80","130","298","212.1","34.5","-"
"206",10,"Carson Wentz",WAS,"QB24","160","321","217.6","38.7","+3"
"207",11,"Jeff Wilson Jr.",SF,"RB62","116","316","212.9","48.5","+45"
"208",11,"Donovan Peoples-Jones",CLE,"WR81","146","293","214.8","24.7","+49"
"209",11,"Curtis Samuel",WAS,"WR82","123","271","214.3","24.9","+73"
"210",11,"Boston Scott",PHI,"RB63","132","382","214.4","41.9","+64"
"211",11,"Jared Goff",DET,"QB25","160","320","219.4","41.7","0"
"212",11,"Green Bay Packers",GB,"DST11","155","266","205.4","19.4","-75"
"213",11,"Jamison Crowder",BUF,"WR83","122","343","214.2","36.3","+60"
"214",11,"Miami Dolphins",MIA,"DST12","159","250","207.8","17.3","-40"
"215",11,"Ronald Jones II",KC,"RB64","94","357","211.3","67.6","-13"
"216",11,"Rex Burkhead",HOU,"RB65","116","341","216.9","50.3","+56"
"217",11,"David Bell",CLE,"WR84","122","311","218.0","34.2","+54"
"218",11,"Kansas City Chiefs",KC,"DST13","169","324","216.2","26.7","-15"
"219",11,"Ryan Succop",TB,"K6","184","322","217.9","16.1","-40"
"220",11,"Harrison Butker",KC,"K7","175","281","213.7","17.5","-95"
"221",11,"Kenyan Drake",BAL,"RB66","115","386","213.9","61.6","-7"
"222",11,"Damien Williams",ATL,"RB67","131","321","215.4","44.1","-"
"223",11,"Kendrick Bourne",NE,"WR85","137","349","223.0","34.7","+28"
"224",11,"Sony Michel",LAC,"RB68","117","357","207.0","61.0","+32"
"225",11,"Chuba Hubbard",CAR,"RB69","138","330","222.3","46.3","-21"
"226",11,"Zach Wilson",NYJ,"QB26","130","349","232.3","47.3","+6"
"227",11,"Cleveland Browns",CLE,"DST14","164","323","219.7","19.5","-29"
"228",11,"Baker Mayfield",CAR,"QB27","163","338","233.0","43.1","-41"
"229",11,"Baltimore Ravens",BAL,"DST15","155","314","222.8","30.9","-75"
"230",11,"Tyrion Davis-Price",SF,"RB70","127","349","222.8","56.1","+7"
"231",11,"Mo Alie-Cox",IND,"TE27","153","335","228.7","40.6","-"
"232",11,"Matt Prater",ARI,"K8","185","323","223.4","14.5","-83"
"233",11,"A.J. Green",ARI,"WR86","123","301","230.1","29.9","+10"
"234",11,"Philadelphia Eagles",PHI,"DST16","156","278","228.8","26.0","-44"
"235",11,"D'Ernest Johnson",CLE,"RB71","139","343","229.7","41.4","+68"
"236",11,"Zay Jones",JAC,"WR87","146","311","231.5","30.3","-"
"237",11,"Pittsburgh Steelers",PIT,"DST17","159","314","230.0","27.7","-64"
"238",11,"Rodrigo Blankenship",IND,"K9","184","300","234.0","16.1","-33"
"239",11,"Jonnu Smith",NE,"TE28","165","337","241.9","32.7","+78"
"240",11,"Mike Davis",BAL,"RB72","131","393","235.8","50.4","+9"
"241",11,"Laviska Shenault Jr.",CAR,"WR88","145","341","230.7","37.1","+38"
"242",11,"Jason Sanders",MIA,"K10","204","302","237.6","22.6","+18"
"243",11,"Braxton Berrios",NYJ,"WR89","136","333","238.5","32.8","-"
"244",11,"Younghoe Koo",ATL,"K11","181","353","240.3","31.7","-84"
"245",11,"Davis Mills",HOU,"QB28","165","334","249.8","38.3","+18"
"246",11,"Brandon McManus",DEN,"K12","204","288","242.2","16.8","-77"
"247",11,"Byron Pringle",CHI,"WR90","162","317","246.5","24.7","+86"
"248",11,"Arizona Cardinals",ARI,"DST18","180","345","247.1","26.1","+7"
"249",11,"Terrace Marshall Jr.",CAR,"WR91","150","377","247.1","36.5","-"
"250",11,"Nick Folk",NE,"K13","199","339","242.4","26.4","-85"
"251",11,"Sammy Watkins",GB,"WR92","151","346","248.5","40.0","-34"
"252",11,"Tennessee Titans",TEN,"DST19","159","322","255.2","27.7","-12"
"253",11,"Robbie Gould",SF,"K14","209","332","251.1","22.0","-56"
"254",11,"Cincinnati Bengals",CIN,"DST20","159","323","253.4","32.6","-60"
"255",12,"Randall Cobb",GB,"WR93","173","350","254.7","33.7","-1"
"256",12,"Adam Trautman",NO,"TE29","179","360","254.7","37.7","-"
"257",12,"Jake Elliott",PHI,"K15","181","326","253.9","20.6","-30"
"258",12,"Bryan Edwards",ATL,"WR94","187","350","254.0","26.5","-"
"259",12,"Zack Moss",BUF,"RB73","147","369","252.1","44.0","+19"
"260",12,"Eno Benjamin",ARI,"RB74","127","359","242.5","66.3","-18"
"261",12,"Dustin Hopkins",LAC,"K16","182","330","257.7","24.5","-8"
"262",12,"Marcus Mariota",ATL,"QB29","163","373","270.1","47.0","-26"
"263",12,"Cameron Brate",TB,"TE30","166","321","247.3","35.5","-22"
"264",12,"Myles Gaskin",MIA,"RB75","139","365","249.6","57.3","-33"
"265",12,"Cedrick Wilson Jr.",MIA,"WR95","205","346","262.1","27.5","+58"
"266",12,"Nelson Agholor",NE,"WR96","175","355","261.2","31.5","+59"
"267",12,"C.J. Uzomah",NYJ,"TE31","167","371","263.7","34.7","+1"
"268",12,"Carolina Panthers",CAR,"DST21","169","347","268.1","25.8","-2"
"269",12,"Minnesota Vikings",MIN,"DST22","171","347","269.8","28.0","-40"
"270",12,"Wil Lutz",NO,"K17","204","309","271.3","22.5","-63"
"271",12,"Chris Evans",CIN,"RB76","131","351","246.7","54.3","+10"
"272",12,"Trey Sermon",PHI,"RB77","120","380","252.5","58.6","+66"
"273",12,"Chris Boswell",PIT,"K18","191","332","274.6","20.4","-57"
"274",12,"Dan Arnold",JAC,"TE32","167","371","271.7","35.2","-"
"275",12,"Marlon Mack",HOU,"RB78","127","379","235.7","72.8","-50"
"276",12,"Greg Zuerlein",NYJ,"K19","181","342","270.6","39.0","+14"
"277",12,"Matt Breida",NYG,"RB79","157","369","270.1","37.1","-"
"278",12,"Mason Crosby",GB,"K20","215","332","277.3","22.6","-40"
"279",12,"Greg Joseph",MIN,"K21","184","353","278.3","34.5","-61"
"280",12,"Marquez Callaway",NO,"WR97","187","395","269.9","41.2","+14"
"281",12,"Ameer Abdullah",LV,"RB80","120","351","224.3","63.5","-22"
"282",12,"Washington Commanders",WAS,"DST23","161","337","288.1","32.3","-43"
"283",12,"Chicago Bears",CHI,"DST24","170","344","287.6","33.6","-18"
"284",12,"Graham Gano",NYG,"K22","215","332","291.6","22.8","-40"
"285",12,"Trey McBride",ARI,"TE33","232","391","283.3","31.7","-"
"286",12,"Jason Myers",SEA,"K23","218","353","293.4","27.7","-2"
"287",12,"New York Giants",NYG,"DST25","169","345","298.8","30.9","+18"
"288",12,"Mitch Trubisky",PIT,"QB30","186","381","303.9","41.0","-3"
"289",12,"Quez Watkins",PHI,"WR98","210","377","284.8","27.6","+43"
"290",12,"Deshaun Watson",CLE,"QB31","125","387","298.2","58.9","-102"
"291",12,"Dontrell Hilliard",TEN,"RB81","115","392","249.0","72.3","-41"
"292",12,"Hassan Haskins",TEN,"RB82","161","368","289.7","43.9","-31"
"293",12,"Nick Westbrook-Ikhine",TEN,"WR99","150","370","254.0","42.5","-"
"294",12,"Cairo Santos",CHI,"K24","213","353","299.5","27.4","-14"
"295",12,"William Fuller V",FA,"WR100","182","386","255.8","46.0","-"
"296",12,"Randy Bullock",TEN,"K25","184","346","297.8","25.7","-32"
"297",12,"Velus Jones Jr.",CHI,"WR101","158","347","270.5","38.6","-"
"298",12,"Joshua Kelley",LAC,"RB83","192","374","292.4","41.0","-23"
"299",12,"Josh Reynolds",DET,"WR102","223","383","286.4","29.6","-"
"300",12,"Kyle Rudolph",TB,"TE34","153","358","273.1","38.1","-55"
"301",12,"Odell Beckham Jr.",FA,"WR103","186","375","260.9","40.6","-108"
"302",12,"Tyler Conklin",NYJ,"TE35","179","349","262.7","34.9","-14"
"303",12,"New York Jets",NYJ,"DST26","156","355","305.5","35.0","+8"
"304",12,"Tre'Quan Smith",NO,"WR104","220","378","282.6","38.2","-"
"305",12,"Giovani Bernard",TB,"RB84","184","380","292.2","36.1","-"
"306",12,"Devin Duvernay",BAL,"WR105","172","370","269.7","40.5","-19"
"307",12,"Ke'Shawn Vaughn",TB,"RB85","176","368","295.2","35.9","-31"
"308",12,"Seattle Seahawks",SEA,"DST27","159","355","306.9","30.0","-16"
"309",12,"Ka'imi Fairbairn",HOU,"K26","184","353","308.3","29.1","+33"
"310",12,"Isaiah Likely",BAL,"TE36","102","394","267.6","59.3","-77"
"311",12,"Daniel Bellinger",NYG,"TE37","166","364","261.0","34.8","-"
"312",12,"Darius Slayton",NYG,"WR106","216","396","294.5","35.5","-"
"313",13,"Ty Johnson",NYJ,"RB86","189","393","290.6","42.0","-"
"314",13,"Kyren Williams",LAR,"RB87","157","392","304.0","46.5","-"
"315",13,"Jalen Reagor",MIN,"WR107","223","390","295.9","32.5","-"
"316",13,"Pierre Strong Jr.",NE,"RB88","189","365","301.6","37.8","-"
"317",13,"O.J. Howard",HOU,"TE38","182","389","286.7","43.7","+22"
"318",13,"Kyle Philips",TEN,"WR108","166","390","269.4","45.1","-"
"319",13,"Jacksonville Jaguars",JAC,"DST28","155","355","316.1","34.9","+17"
"320",13,"Kenny Pickett",PIT,"QB32","228","391","328.4","29.4","-100"
"321",13,"Greg Dulcich",DEN,"TE39","216","374","289.8","34.2","-"
"322",13,"Geno Smith",SEA,"QB33","229","385","320.8","29.8","-"
"323",13,"Dyami Brown",WAS,"WR109","263","396","308.1","32.6","-"
"324",13,"Quintez Cephus",DET,"WR110","231","395","304.2","32.9","-"
"325",13,"Jacoby Brissett",CLE,"QB34","225","385","322.4","30.1","-"
"326",13,"Harrison Bryant",CLE,"TE40","209","348","288.7","35.7","-"
"327",13,"Jaylen Warren",PIT,"RB89","139","393","285.8","62.0","-44"
"328",13,"Tommy Tremble",CAR,"TE41","219","365","291.7","33.0","-"
"329",13,"Salvon Ahmed",MIA,"RB90","237","393","307.9","35.0","-"
"330",13,"Darrynton Evans",CHI,"RB91","217","392","306.9","35.8","-"
"331",13,"Jerome Ford",CLE,"RB92","198","393","317.5","27.4","-"
"332",13,"Justin Jackson",DET,"RB93","174","382","297.1","51.1","-"
"333",13,"Ty Montgomery",NE,"RB94","169","388","284.3","51.5","-"
"334",13,"Drew Lock",SEA,"QB35","229","397","338.0","34.8","0"
"335",13,"James Proche II",BAL,"WR111","203","349","293.2","37.1","-"
"336",13,"Jimmy Garoppolo",SF,"QB36","202","397","333.8","33.0","-59"
"337",13,"Snoop Conner",JAC,"RB95","235","393","319.7","34.8","-"
"338",13,"Donald Parham Jr.",LAC,"TE42","258","389","314.4","27.3","-"
"339",13,"Phillip Lindsay",FA,"RB96","250","392","309.5","29.8","-"
"340",13,"Chase McLaughlin",FA,"K27","175","347","305.8","38.4","-"
"341",13,"Danny Gray",SF,"WR112","194","396","299.1","51.3","-"
"342",13,"Cade York",CLE,"K28","246","353","307.5","23.7","-96"
"343",13,"Khalil Shakir",BUF,"WR113","212","384","300.7","39.6","-"
"344",13,"Las Vegas Raiders",LV,"DST29","219","355","313.3","31.0","-77"
"345",13,"Emmanuel Sanders",FA,"WR114","216","382","289.4","37.1","-"
"346",13,"Jalen Guyton",LAC,"WR115","228","378","303.3","34.6","-"
"347",13,"Brett Maher",DAL,"K29","215","339","287.2","33.7","-61"
"348",13,"Duke Johnson Jr.",BUF,"RB97","259","371","318.9","27.8","-"
"349",13,"Olamide Zaccheaus",ATL,"WR116","216","396","302.3","45.2","-"
"350",13,"Travis Homer",SEA,"RB98","174","374","282.6","54.4","-"
"351",13,"Foster Moreau",LV,"TE43","236","381","316.7","35.9","-16"
"352",13,"Cole Beasley",FA,"WR117","188","384","284.2","46.4","-"
"353",13,"DeeJay Dallas",SEA,"RB99","199","392","312.5","42.3","-10"
"354",13,"Tyquan Thornton",NE,"WR118","240","373","300.8","34.0","-"
"355",13,"Josh Lambo",FA,"K30","175","342","311.1","33.6","-"
"356",13,"Jelani Woods",IND,"TE44","246","389","323.3","34.4","-"
"357",14,"Detroit Lions",DET,"DST30","253","355","325.2","23.3","-57"
"358",14,"Tyler Badie",BAL,"RB100","186","389","308.0","50.1","-"
"359",14,"Amari Rodgers",GB,"WR119","242","396","328.9","39.8","-"
"360",14,"Tevin Coleman",FA,"RB101","283","388","333.2","23.3","-"
"361",14,"Jaret Patterson",WAS,"RB102","277","393","334.7","27.3","-"
"362",14,"Calvin Austin III",PIT,"WR120","214","390","318.3","39.9","-"
"363",14,"Desmond Ridder",ATL,"QB37","230","397","342.8","36.7","-"
"364",14,"Demarcus Robinson",BAL,"WR121","268","384","324.3","35.2","-"
"365",14,"Jared Cook",FA,"TE45","234","394","295.6","41.8","-"
"366",14,"Taysom Hill",NO,"TE46","165","389","286.9","63.1","-138"
"367",14,"Atlanta Falcons",ATL,"DST31","156","355","327.9","32.3","-"
"368",14,"Jauan Jennings",SF,"WR122","243","383","308.1","34.3","-28"
"369",14,"David Johnson",FA,"RB103","192","377","303.7","37.1","-"
"370",14,"Rashard Higgins",CAR,"WR123","237","390","311.9","46.2","-"
"371",14,"Brandon Bolden",LV,"RB104","176","380","297.8","53.0","-41"
"372",14,"Joey Slye",WAS,"K31","276","353","318.7","18.8","-28"
"373",14,"John Metchie III",HOU,"WR124","223","373","275.7","38.5","-"
"374",14,"T.Y. Hilton",FA,"WR125","268","383","311.9","28.3","-"
"375",14,"Cade Otton",TB,"TE47","232","394","331.1","39.0","-"
"376",14,"Austin Seibert",DET,"K32","175","353","320.9","29.9","-106"
"377",14,"Keaontay Ingram",ARI,"RB105","235","388","328.1","39.9","-"
"378",14,"Anthony Firkser",ATL,"TE48","245","391","325.9","38.8","-"
"379",14,"James Washington",DAL,"WR126","264","396","334.1","34.9","-"
"380",14,"Noah Brown",DAL,"WR127","223","390","310.1","45.9","-"
"381",14,"Equanimeous St. Brown",CHI,"WR128","240","396","324.5","37.3","-"
"382",14,"John Bates",WAS,"TE49","246","391","330.6","34.3","-"
"383",14,"Latavius Murray",FA,"RB106","259","385","321.1","26.0","-"
"384",14,"Anthony Schwartz",CLE,"WR129","263","395","328.2","31.3","-"
"385",14,"Kene Nwangwu",MIN,"RB107","245","393","335.5","39.6","-"
"386",14,"Kylen Granson",IND,"TE50","255","394","340.4","31.0","-"
"387",14,"Sam Darnold",CAR,"QB38","281","393","341.8","23.9","-"
"388",14,"Dee Eskridge",SEA,"WR130","240","384","328.3","42.4","-"
"389",14,"Malcolm Brown",FA,"RB108","278","387","330.0","21.6","-"
"390",14,"Devontae Booker",FA,"RB109","273","368","325.5","19.6","-"
"391",14,"Houston Texans",HOU,"DST32","267","355","329.9","18.8","-63"
"392",14,"Trestan Ebner",CHI,"RB110","198","393","326.4","46.0","-"
"393",14,"Tyler Johnson",HOU,"WR131","262","389","334.9","33.5","-"
"394",14,"Josiah Deguara",GB,"TE51","190","384","343.3","36.4","-"
"395",14,"Zach Pascal",PHI,"WR132","270","383","333.9","34.4","-"
"396",14,"Benny Snell Jr.",PIT,"RB111","271","393","342.3","27.1","-"
"397",14,"Craig Reynolds",DET,"RB112","303","364","335.2","19.2","-"
"398",14,"Kyle Juszczyk",SF,"RB113","174","363","292.4","59.4","-109"
"399",14,"Devonta Freeman",FA,"RB114","277","392","338.6","27.3","-"
"400",14,"Mack Hollins",LV,"WR133","242","396","304.5","44.3","-"
"401",14,"Wayne Gallman Jr.",FA,"RB115","281","386","337.1","24.9","-"
"402",14,"Will Dissly",SEA,"TE52","255","389","335.4","34.6","-"
"403",14,"Jordan Mason",SF,"RB116","162","382","289.3","61.7","-"
"404",14,"Pharaoh Brown",HOU,"TE53","305","389","344.1","18.6","-"
"405",14,"Malik Willis",TEN,"QB39","231","397","342.8","38.1","-64"
"406",14,"Ty Chandler",MIN,"RB117","259","382","317.1","40.4","-"
"407",14,"Ashton Dulin",IND,"WR134","247","396","337.7","41.0","-"
"408",14,"Justin Watson",KC,"WR135","240","395","335.1","42.3","-"
"409",14,"Chris Conley",FA,"WR136","242","396","329.1","45.8","-"
